iter	RMSE
177	0.2585189882
178	0.2582843643
179	0.2578881461
180	0.2573255485
181	0.2569167535
182	0.2566423225
183	0.2557906034
184	0.2554240305
185	0.2546704179
186	0.2542210889
187	0.254051249
188	0.2538515473
189	0.2535804444
190	0.2533068457
191	0.2529749436
192	0.2524423891
193	0.2521927541
194	0.2518302312
195	0.2515208331
196	0.2512820944
197	0.2509895627
198	0.2507135718
199	0.2500342925
200	0.2494936809
201	0.2488364243
202	0.2485850437
203	0.2481973593
204	0.247835662
205	0.2475605601
206	0.2470445808
207	0.2466214608
208	0.2463462966
209	0.2461423179
210	0.2457864353
211	0.24541433
212	0.2451444963
213	0.2447471621
214	0.2441980479
215	0.2440274466
216	0.2435333468
217	0.2432907219
218	0.2428406798
219	0.2426054177
220	0.2422438733
221	0.2416443881
222	0.2414738832
223	0.2411140385
224	0.2408478052
225	0.2405095949
226	0.2402535125
227	0.2400336237
228	0.2394909808
229	0.2393015718
230	0.2391591205
231	0.2389726742
232	0.2386720836
233	0.2380793342
234	0.2377904522
235	0.2374010964
236	0.2367757315
237	0.236505754
238	0.2360137898
239	0.235849074
240	0.235630505
241	0.2350818697
242	0.2347378684
243	0.234503974
244	0.2341718823
245	0.2337392569
246	0.2336464842
247	0.2334110234
248	0.2331874295
249	0.2328383118
250	0.232593271
251	0.2324885593
252	0.2322561007
253	0.2320303923
254	0.2317704642
255	0.2313661858
256	0.2311114646
257	0.2308239843
258	0.2303085514
259	0.22996126
260	0.2297047309
261	0.2292582597
262	0.2289412057
263	0.2287914935
264	0.2286238184
265	0.2284780105
266	0.2283229025
267	0.2281682784
268	0.2277682063
269	0.2274929182
270	0.2273093992
271	0.2268864938
272	0.2266758722
273	0.2263842844
274	0.2262298797
275	0.2260019415
276	0.225850046
277	0.2256847471
278	0.2255168589
279	0.2252783064
280	0.2249632997
281	0.2246903016
282	0.2244031091
283	0.2242297958
284	0.2240254741
285	0.2238459624
286	0.2236007188
287	0.2232529416
288	0.2228869861
289	0.2226277611
290	0.2224316688
291	0.2221772597
292	0.2220191486
293	0.2218997066
294	0.221771626
295	0.2216359541
296	0.2213866546
297	0.2212412357
298	0.2210013797
299	0.2207334111
300	0.2205603704
301	0.2203643686
302	0.2201841239
303	0.2200309884
304	0.2198685646
305	0.2196602962
306	0.2194132629
307	0.2190873172
308	0.218759041
309	0.218564995
310	0.2184325824
311	0.218151709
312	0.2179811246
313	0.2178506674
314	0.2174243648
315	0.2172646211
316	0.2171490405
317	0.2168558217
318	0.2166585748
319	0.2164446167
320	0.2162553231
321	0.2160696955
322	0.2158669055
323	0.2157402046
324	0.2154848762
325	0.2151992173
326	0.2150277905
327	0.214812021
328	0.2146520478
329	0.2143397339
330	0.2140693417
331	0.2138397757
332	0.2137399641
333	0.2135895221
334	0.2134097312
335	0.2132939974
336	0.2131949869
337	0.2130930284
338	0.2129627854
339	0.2128112411
340	0.21258305
341	0.2124021617
342	0.2122569613
343	0.2120555085
344	0.2118715078
345	0.2118282955
346	0.2116687682
347	0.2115009813
348	0.2112158868
349	0.2110428737
350	0.2107330049
351	0.210567853
352	0.2104599226
353	0.210287483
354	0.2100370066
355	0.2098880866
356	0.2095944923
357	0.2094396088
358	0.2092530478
359	0.209078679
360	0.2088221651
361	0.2086082339
362	0.2085199523
363	0.2084278657
364	0.2083068351
365	0.2081405712
366	0.2079349806
367	0.2078163356
368	0.2076861417
369	0.2074939405
370	0.2074381938
371	0.2073572024
372	0.2072091215
373	0.2070687538
374	0.2068787575
375	0.2067417235
376	0.2065835228
377	0.2064192241
378	0.206204407
379	0.206104414
380	0.2060087524
381	0.205848065
382	0.2056767745
383	0.20563333
384	0.2055071118
385	0.2053248949
386	0.2050542458
387	0.2049521666
388	0.2046136638
389	0.2044358301
390	0.2043357486
391	0.2042133342
392	0.2039192817
393	0.2038353916
394	0.2036841435
395	0.203342223
396	0.203161269
397	0.2031066762
398	0.2029917923
399	0.2028897535
400	0.2027739664
401	0.2025657771
402	0.2023039886
403	0.2021777149
404	0.2020458453
405	0.2018249692
406	0.201563128
407	0.2014592351
408	0.2013846932
409	0.2013034702
410	0.2010580303
411	0.2009004013
412	0.2007579636
413	0.2006752695
414	0.200460288
415	0.2003096279
416	0.2000818619
417	0.1999614574
418	0.1998311776
419	0.1997146573
420	0.1994732935
421	0.1993265804
422	0.1992334729
423	0.1990510341
424	0.1988363167
425	0.1986323415
426	0.198578484
427	0.1984497936
428	0.1982645068
429	0.1980787656
430	0.1979778211
431	0.1977823296
432	0.1976765087
433	0.1975062221
434	0.1972189522
435	0.1970383122
436	0.1969245053
437	0.1967616993
438	0.1966984785
439	0.1965294543
440	0.1964416185
441	0.1962220376
442	0.1960699628
443	0.1959468181
444	0.1958843583
445	0.1958240478
446	0.1957604865
447	0.195613509
448	0.1954335861
449	0.1953622108
450	0.1951231094
451	0.1949985425
452	0.1949355994
453	0.1947431192
454	0.1946173062
455	0.1945157959
456	0.1942380876
457	0.1941229236
458	0.194047826
459	0.1938566611
460	0.1936912542
461	0.1935414399
462	0.1932974213
463	0.1931537411
464	0.1930311711
465	0.1928786865
466	0.1927514718
467	0.1925884743
468	0.192473594
469	0.1923453843
470	0.1921515158
471	0.1920917162
472	0.1919378137
473	0.1917644575
474	0.1915734372
475	0.1914115165
476	0.1912263461
477	0.1910645188
478	0.1908256109
479	0.1907332321
480	0.1906074964
481	0.1904998152
482	0.1904187085
483	0.1902629271
484	0.1901042308
485	0.189962406
486	0.1897081894
487	0.189535676
488	0.189366731
489	0.1892706681
490	0.1891225474
491	0.1890427822
492	0.1889065987
493	0.1888444571
494	0.1887261159
495	0.1886120566
496	0.1885129289
497	0.1884522431
498	0.1883355463
499	0.1883071615
500	0.1882369109
501	0.1880215599
502	0.1879522133
503	0.1878087404
504	0.187657745
505	0.1875275692
506	0.1874423263
507	0.1873201904
508	0.1872265102
509	0.1871695205
510	0.1870567578
511	0.187027903
512	0.1868883684
513	0.1867320323
514	0.1866765731
515	0.1866053003
516	0.1864809265
517	0.1863713937
518	0.1863047441
519	0.1861938763
520	0.1861002665
521	0.1859489222
522	0.1858754975
523	0.1857192215
524	0.1856530077
525	0.1855627964
526	0.1854916713
527	0.1854116271
528	0.1851829162
529	0.1851261197
530	0.1850841177
531	0.1849873162
532	0.1849572035
533	0.1848478033
534	0.18475172
535	0.1846487598
536	0.1844959695
537	0.1844088218
538	0.1843441455
539	0.1842663201
540	0.1841168293
541	0.1839843252
542	0.1838661347
543	0.1837313407
544	0.1836593013
545	0.183600399
546	0.1835473893
547	0.1834520284
548	0.1833149259
549	0.1831764383
550	0.1830695837
551	0.1829776104
552	0.1829392192
553	0.1828661731
554	0.1827377803
555	0.1826043925
556	0.1824718256
557	0.1824167529
558	0.1822032316
559	0.1820665133
560	0.1819890349
561	0.181860017
562	0.1816883136
563	0.1816224226
564	0.1815247213
565	0.1814405471
566	0.1813797595
567	0.1812480538
568	0.1811356356
569	0.1810058239
570	0.1807887902
571	0.1806726264
572	0.180614562
573	0.1804384813
574	0.1802823105
575	0.1800863512
576	0.1799756676
577	0.1798560344
578	0.1796798328
579	0.1795434167
580	0.1794564689
581	0.179368468
582	0.1793032248
583	0.1792224215
584	0.1791343188
585	0.1790884954
586	0.1789771948
587	0.1788041307
588	0.1786787939
589	0.1785780375
590	0.1784683858
591	0.1783639904
592	0.1782012757
593	0.1781115085
594	0.1780213854
595	0.1779617879
596	0.1779035547
597	0.1778273615
598	0.1776807944
599	0.1776415713
600	0.1776053114
601	0.1775150562
602	0.1774344332
603	0.1773832743
604	0.1773151145
605	0.1771201576
606	0.1770005697
607	0.1769157809
608	0.1768489934
609	0.176806252
610	0.1767087796
611	0.1766661629
612	0.1764866923
613	0.1764244331
614	0.1763231969
615	0.1762425087
616	0.1761637554
617	0.1760406148
618	0.1759830569
619	0.1759393035
620	0.1758057189
621	0.1756872343
622	0.1755821766
623	0.1754901038
624	0.1754120078
625	0.1753225867
626	0.1752411081
627	0.1751098276
628	0.1750748526
629	0.1750086225
630	0.1749321279
631	0.1748734472
632	0.1748008291
633	0.1747097045
634	0.1746480128
635	0.1745793237
636	0.1745041101
637	0.1744138643
638	0.1742525459
639	0.1741496285
640	0.1740712914
641	0.1739776417
642	0.1739107761
643	0.1738329566
644	0.1737462726
645	0.1737100755
646	0.1736244227
647	0.1735570724
648	0.1734806483
649	0.1734190941
650	0.1733174088
651	0.173191257
652	0.1731048438
653	0.1730322205
654	0.1729028884
655	0.1727588066
656	0.1726649313
657	0.1726501466
658	0.1725446143
659	0.1724855613
660	0.1723162308
661	0.172285878
662	0.1721658367
663	0.1720616249
664	0.1719668061
665	0.1718538233
666	0.1717308283
667	0.1716569204
668	0.1715570481
669	0.1714493904
670	0.1713896091
671	0.1713291888
672	0.1713081707
673	0.171274953
674	0.1712294591
675	0.1711617835
676	0.1710513413
677	0.1709917663
678	0.1709416921
679	0.1708347482
680	0.1707693603
681	0.1707373526
682	0.1706850912
683	0.1704936667
684	0.1704694234
685	0.170415287
686	0.1702867544
687	0.1702362715
688	0.1701787343
689	0.1701339856
690	0.1700951732
691	0.1699995869
692	0.1699127444
693	0.1698278513
694	0.1698011922
695	0.1696682876
696	0.1695580673
697	0.1693899351
698	0.1693360571
699	0.1692363674
700	0.1691911817
701	0.1691251908
702	0.1690088116
703	0.1689814379
704	0.1687870325
705	0.1687176267
706	0.168623703
707	0.1685923994
708	0.1685407628
709	0.1685164488
710	0.1684089666
711	0.1683216681
712	0.1682524087
713	0.1681947098
714	0.1681187241
715	0.1680683448
716	0.1679876539
717	0.16786388
718	0.1677887759
719	0.1677609025
720	0.1676304658
721	0.1675274111
722	0.1674653315
723	0.1673973985
724	0.1673300474
725	0.1672380132
726	0.1671369825
727	0.167113018
728	0.1670692955
729	0.1670101024
730	0.1669852157
731	0.1668822151
732	0.1667551676
733	0.1666676071
734	0.1665839645
735	0.1664939768
736	0.1663994208
737	0.1663468775
738	0.1662858143
739	0.1661866912
740	0.1661025158
741	0.166082199
742	0.1659597277
743	0.1659043386
744	0.1658337954
745	0.1657727788
746	0.1657409616
747	0.1656851098
748	0.1655886089
749	0.1654549815
750	0.1653660791
751	0.1652985613
752	0.1652542456
753	0.1652090857
754	0.1651173242
755	0.1650537798
756	0.164959301
757	0.1648976104
758	0.1648458447
759	0.1647864714
760	0.1647422184
761	0.1646664817
762	0.1645430262
763	0.1644624803
764	0.1643917928
765	0.1643212053
766	0.1642977376
767	0.1642447237
768	0.1641127828
769	0.1640093217
770	0.1639688893
771	0.1639124165
772	0.1638430513
773	0.1637366512
774	0.1636987299
775	0.1636539392
776	0.1635968661
777	0.1635453085
778	0.1634196338
779	0.1633286211
780	0.163267749
781	0.1631985939
782	0.1631229493
783	0.1630143438
784	0.1629381987
785	0.1628557868
786	0.1628057043
787	0.1626623804
788	0.1625814986
789	0.1624163833
790	0.1623292489
791	0.1622705843
792	0.1621777535
793	0.1621407497
794	0.1621076964
795	0.1620376108
796	0.1619305221
797	0.1618473211
798	0.1618142214
799	0.1617850046
800	0.161717811
801	0.1616705001
802	0.1615793501
803	0.1615286959
804	0.1614662175
805	0.1614292779
806	0.1613273317
807	0.1612331546
808	0.1611826684
809	0.1610834127
810	0.1609742813
811	0.1608821706
812	0.1608333659
813	0.1607690232
814	0.1606799264
815	0.1606455523
816	0.160589209
817	0.1604265191
818	0.1603828693
819	0.1603410107
820	0.1602639875
821	0.1601805029
822	0.1601169755
823	0.1600542857
824	0.1599528333
825	0.1596594537
826	0.1595520133
827	0.1594771192
828	0.1594019533
829	0.1593139413
830	0.1592199766
831	0.15920783
832	0.1591539104
833	0.1590871359
834	0.1590579379
835	0.158985503
836	0.1589046755
837	0.1588675578
838	0.1588163399
839	0.1585961074
840	0.1584900916
841	0.1584318021
842	0.1584030981
843	0.1583723128
844	0.1582620132
845	0.1581445944
846	0.1580340898
847	0.1579768109
848	0.1579100513
849	0.15779643
850	0.1577334648
851	0.157704553
852	0.1576719179
853	0.1576073779
854	0.1575331358
855	0.157405473
856	0.1573250954
857	0.1572932649
858	0.1572357466
859	0.1571903792
860	0.1571495892
861	0.1570808892
862	0.1570034864
863	0.1569520691
864	0.1568921104
865	0.156807623
866	0.1567535794
867	0.156708638
868	0.1566041951
869	0.1565492767
870	0.1565438262
871	0.1564778926
872	0.1563765367
873	0.1563013439
874	0.1561573628
875	0.1560988745
876	0.1560464861
877	0.1559318118
878	0.1558589619
879	0.1558101307
880	0.1557603379
881	0.1556936021
882	0.1556250122
883	0.1555691485
884	0.1555391707
885	0.1554680784
886	0.1554130904
887	0.1553630213
888	0.155279999
889	0.1552000445
890	0.1551406836
891	0.155069869
892	0.1550136024
893	0.1549178376
894	0.1548063704
895	0.1547481242
896	0.1546994564
897	0.1546403436
898	0.1546315523
899	0.1545386605
900	0.1545042549
901	0.1544142794
902	0.1543752724
903	0.1543211129
904	0.1542662758
905	0.1542421104
906	0.1542057273
907	0.1540665498
908	0.1540348484
909	0.1539979781
910	0.1539472138
911	0.1538687569
912	0.153798821
913	0.1537093409
914	0.1535683938
915	0.1534801408
916	0.1534303068
917	0.1533944345
918	0.1532458644
919	0.1531924601
920	0.1531668306
921	0.1531330469
922	0.1530382892
923	0.152974114
924	0.1528943896
925	0.1528336665
926	0.152797096
927	0.1527629158
928	0.1527327992
929	0.1527034259
930	0.1526660746
931	0.1525781294
932	0.1525102412
933	0.1524250283
934	0.1523966567
935	0.1523545292
936	0.1522411729
937	0.1521490878
938	0.1521212219
939	0.152095996
940	0.1520470834
941	0.151981822
942	0.1519262207
943	0.151898994
944	0.1518327832
945	0.1518059556
946	0.1516749714
947	0.1515999605
948	0.151504184
949	0.1514601733
950	0.1514181613
951	0.1513443104
952	0.1512400062
953	0.1511233575
954	0.1510568324
955	0.1509597887
956	0.1508599635
957	0.1507909457
958	0.1507347586
959	0.1506927353
960	0.1506313824
961	0.1505632844
962	0.1505206993
963	0.1504765566
964	0.1504043008
965	0.1503403015
966	0.1503085731
967	0.150255148
968	0.1502051477
969	0.1501719101
970	0.1501462113
971	0.1501298442
972	0.1500551015
973	0.1499709763
974	0.1498691889
975	0.1498187932
976	0.1497026586
977	0.1496421571
978	0.1495884642
979	0.149508386
980	0.1494698821
981	0.1494350906
982	0.1493994298
983	0.1493602832
984	0.1493406228
985	0.1493032303
986	0.1492435393
987	0.1491533065
988	0.149094606
989	0.1490456939
990	0.1489674058
991	0.1489009652
992	0.1488533549
993	0.1488169652
994	0.1487644197
995	0.1487202344
996	0.1486648629
997	0.1486213961
998	0.1484767937
999	0.1483790358
